Year, Month, Day, Hour, Minute, DataSourceAndUncertaintyFlags, DryBulbTemperature, DewPointTemperature, RelativeHumidity, AtmosphericStationPressure, ExtraterrestrialHorizontalRadiation, ExtraterrestrialDirectNormalRadiation, HorizontalInfraredRadiationIntensity, GlobalHorizontalRadiation, DirectNormalRadiation, DiffuseHorizontalRadiation, GlobalHorizontalIlluminance, DirectNormalIlluminance, DiffuseHorizontalIlluminance, ZenithLuminance, WindDirection, WindSpeed, TotalSkyCover, OpaqueSkyCover, Visibility, CeilingHeight, PresentWeatherObservation, PresentWeatherCodes, PrecipitableWater, AerosolOpticalDepth, SnowDepth, DaysSinceLastSnowfall, Albedo, LiquidPrecipitationDepth, LiquidPrecipitationQuantity
1986, 1, 1, 1, 60, C9C9C9E8*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0, 8.3, 3.8, 73, 100800, 0, 1415, 318, 0, 0, 0, 0, 0, 0, 0, 280, 10.3, 9, 9, 10.0, 1200, 0, 199999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 2, 60, C9C9C9B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0, 9.9, 4.5, 69, 100800, 0, 1415, 320, 0, 0, 0, 0, 0, 0, 0, 280, 9.3, 8, 8, 10.0, 1200, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 3, 60, C9C9C9B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0, 10.9, 4.9, 66, 100900, 0, 1415, 320, 0, 0, 0, 0, 0, 0, 0, 280, 8.2, 7, 7, 10.0, 1200, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 4, 60, C9C9C9E8*0?9?9?9?9?9?9?9A7A7A7B8A7*0*0E8*0*0, 11.2, 5.1, 66, 101000, 0, 1415, 317, 0, 0, 0, 0, 0, 0, 0, 260, 7.2, 6, 6, 10.0, 1200, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 5, 60, C9C9C9B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0, 11.1, 5.1, 67, 101000, 0, 1415, 321, 0, 0, 0, 0, 0, 0, 0, 260, 8.2, 7, 7, 9.3, 1200, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 6, 60, C9C9C9B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0, 10.9, 5.0, 67, 101100, 0, 1415, 325, 0, 0, 0, 0, 0, 0, 0, 260, 9.3, 8, 8, 8.7, 1200, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 7, 60, A7A7E8E8*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0, 11.0, 5.4, 68, 101100, 0, 1415, 333, 0, 0, 0, 0, 0, 0, 0, 280, 10.3, 9, 9, 8.0, 1200, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 8, 60, B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0, 10.9, 6.0, 72, 101200, 0, 1415, 321, 0, 0, 0, 0, 0, 0, 0, 280, 8.4, 9, 7, 12.0, 1200, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 9, 60, B8C8E8B8*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0, 10.9, 6.6, 75, 101300, 109, 1415, 315, 19, 0, 19, 2100, 0, 2100, 660, 280, 6.5, 9, 5, 16.0, 1200, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 10, 60, A7A7E8E8*0G9G9G9I9I9I9I9A7A7A7A7A7A7*0E8*0*0, 10.8, 7.1, 78, 101300, 338, 1415, 313, 100, 55, 87, 11100, 4400, 9900, 2230, 200, 4.6, 9, 4, 20.0, 3000, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 11, 60, B8C8E8B8*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0, 12.6, 7.7, 72, 101300, 521, 1415, 319, 203, 110, 163, 22200, 9700, 19100, 3750, 200, 5.3, 8, 3, 20.0, 3000, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
1986, 1, 1, 12, 60, B8C8E8B8*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0, 14.3, 8.3, 67, 101300, 647, 1415, 327, 294, 167, 218, 32200, 15500, 25400, 5270, 200, 6.0, 8, 3, 20.0, 3000, 9, 999999999, 0, 0.0910, 0, 88, 0.000, 0.0, 0.0
